Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Familysize,Age*Class,FarePerPerson
0,3,male,22.0,1,0,7.25,S,Mr,1,66.0,3.625
1,1,female,38.0,1,0,71.2833,C,Mrs,1,38.0,35.64165
1,3,female,26.0,0,0,7.925,S,Miss,0,78.0,7.925
1,1,female,35.0,1,0,53.1,S,Mrs,1,35.0,26.55
0,3,male,35.0,0,0,8.05,S,Mr,0,105.0,8.05
0,3,male,32.409774436090224,0,0,8.4583,Q,Mr,0,97.22932330827066,8.4583
0,1,male,54.0,0,0,51.8625,S,Mr,0,54.0,51.8625
0,3,male,2.0,3,1,21.075,S,Master,4,6.0,4.215
1,3,female,27.0,0,2,11.1333,S,Mrs,2,81.0,3.7111
1,2,female,14.0,1,0,30.0708,C,Mrs,1,28.0,15.0354
1,3,female,4.0,1,1,16.7,S,Miss,2,12.0,5.566666666666666
1,1,female,58.0,0,0,26.55,S,Miss,0,58.0,26.55
0,3,male,20.0,0,0,8.05,S,Mr,0,60.0,8.05
0,3,male,39.0,1,5,31.275,S,Mr,6,117.0,4.4678571428571425
0,3,female,14.0,0,0,7.8542,S,Miss,0,42.0,7.8542
1,2,female,55.0,0,0,16.0,S,Mrs,0,110.0,16.0
0,3,male,2.0,4,1,29.125,Q,Master,5,6.0,4.854166666666667
1,2,male,32.409774436090224,0,0,13.0,S,Mr,0,64.81954887218045,13.0
0,3,female,31.0,1,0,18.0,S,Mrs,1,93.0,9.0
1,3,female,35.642857142857146,0,0,7.225,C,Mrs,0,106.92857142857144,7.225
0,2,male,35.0,0,0,26.0,S,Mr,0,70.0,26.0
1,2,male,34.0,0,0,13.0,S,Mr,0,68.0,13.0
1,3,female,15.0,0,0,8.0292,Q,Miss,0,45.0,8.0292
1,1,male,28.0,0,0,35.5,S,Mr,0,28.0,35.5
0,3,female,8.0,3,1,21.075,S,Miss,4,24.0,4.215
1,3,female,38.0,1,5,31.3875,S,Mrs,6,114.0,4.483928571428572
0,3,male,32.409774436090224,0,0,7.225,C,Mr,0,97.22932330827066,7.225
0,1,male,19.0,3,2,263.0,S,Mr,5,19.0,43.833333333333336
1,3,female,21.77777777777778,0,0,7.8792,Q,Miss,0,65.33333333333334,7.8792
0,3,male,32.409774436090224,0,0,7.8958,S,Mr,0,97.22932330827066,7.8958
0,1,male,40.0,0,0,27.7208,C,Mr,0,40.0,27.7208
1,1,female,35.642857142857146,1,0,146.5208,C,Mrs,1,35.642857142857146,73.2604
1,3,female,21.77777777777778,0,0,7.75,Q,Miss,0,65.33333333333334,7.75
0,2,male,66.0,0,0,10.5,S,Mr,0,132.0,10.5
0,1,male,28.0,1,0,82.1708,C,Mr,1,28.0,41.0854
0,1,male,42.0,1,0,52.0,S,Mr,1,42.0,26.0
1,3,male,32.409774436090224,0,0,7.2292,C,Mr,0,97.22932330827066,7.2292
0,3,male,21.0,0,0,8.05,S,Mr,0,63.0,8.05
0,3,female,18.0,2,0,18.0,S,Miss,2,54.0,6.0
1,3,female,14.0,1,0,11.2417,C,Miss,1,42.0,5.62085
0,3,female,40.0,1,0,9.475,S,Mrs,1,120.0,4.7375
0,2,female,27.0,1,0,21.0,S,Mrs,1,54.0,10.5
0,3,male,32.409774436090224,0,0,7.8958,C,Mr,0,97.22932330827066,7.8958
1,2,female,3.0,1,2,41.5792,C,Miss,3,6.0,10.3948
1,3,female,19.0,0,0,7.8792,Q,Miss,0,57.0,7.8792
0,3,male,32.409774436090224,0,0,8.05,S,Mr,0,97.22932330827066,8.05
0,3,male,32.409774436090224,1,0,15.5,Q,Mr,1,97.22932330827066,7.75
1,3,female,21.77777777777778,0,0,7.75,Q,Miss,0,65.33333333333334,7.75
0,3,male,32.409774436090224,2,0,21.6792,C,Mr,2,97.22932330827066,7.226400000000001
0,3,female,18.0,1,0,17.8,S,Mrs,1,54.0,8.9
0,3,male,7.0,4,1,39.6875,S,Master,5,21.0,6.614583333333333
0,3,male,21.0,0,0,7.8,S,Mr,0,63.0,7.8
1,1,female,49.0,1,0,76.7292,C,Mrs,1,49.0,38.3646
1,2,female,29.0,1,0,26.0,S,Mrs,1,58.0,13.0
0,1,male,65.0,0,1,61.9792,C,Mr,1,65.0,30.9896
1,1,male,32.409774436090224,0,0,35.5,S,Mr,0,32.409774436090224,35.5
1,2,female,21.0,0,0,10.5,S,Miss,0,42.0,10.5
0,3,male,28.5,0,0,7.2292,C,Mr,0,85.5,7.2292
1,2,female,5.0,1,2,27.75,S,Miss,3,10.0,6.9375
0,3,male,11.0,5,2,46.9,S,Master,7,33.0,5.8625
0,3,male,22.0,0,0,7.2292,C,Mr,0,66.0,7.2292
1,1,female,38.0,0,0,80.0,?,Miss,0,38.0,80.0
0,1,male,45.0,1,0,83.475,S,Mr,1,45.0,41.7375
0,3,male,4.0,3,2,27.9,S,Master,5,12.0,4.6499999999999995
0,1,male,32.409774436090224,0,0,27.7208,C,Mr,0,32.409774436090224,27.7208
1,3,male,4.574166666666667,1,1,15.2458,C,Master,2,13.7225,5.081933333333333
1,2,female,29.0,0,0,10.5,S,Mrs,0,58.0,10.5
0,3,male,19.0,0,0,8.1583,S,Mr,0,57.0,8.1583
1,3,female,17.0,4,2,7.925,S,Miss,6,51.0,1.1321428571428571
0,3,male,26.0,2,0,8.6625,S,Mr,2,78.0,2.8874999999999997
0,2,male,32.0,0,0,10.5,S,Mr,0,64.0,10.5
0,3,female,16.0,5,2,46.9,S,Miss,7,48.0,5.8625
0,2,male,21.0,0,0,73.5,S,Mr,0,42.0,73.5
0,3,male,26.0,1,0,14.4542,C,Mr,1,78.0,7.2271
1,3,male,32.0,0,0,56.4958,S,Mr,0,96.0,56.4958
0,3,male,25.0,0,0,7.65,S,Mr,0,75.0,7.65
0,3,male,32.409774436090224,0,0,7.8958,S,Mr,0,97.22932330827066,7.8958
0,3,male,32.409774436090224,0,0,8.05,S,Mr,0,97.22932330827066,8.05
1,2,male,0.83,0,2,29.0,S,Master,2,1.66,9.666666666666666
1,3,female,30.0,0,0,12.475,S,Miss,0,90.0,12.475
0,3,male,22.0,0,0,9.0,S,Mr,0,66.0,9.0
1,3,male,29.0,0,0,9.5,S,Mr,0,87.0,9.5
1,3,female,21.77777777777778,0,0,7.7875,Q,Miss,0,65.33333333333334,7.7875
0,1,male,28.0,0,0,47.1,S,Mr,0,28.0,47.1
1,2,female,17.0,0,0,10.5,S,Miss,0,34.0,10.5
1,3,female,33.0,3,0,15.85,S,Mrs,3,99.0,3.9625
0,3,male,16.0,1,3,34.375,S,Mr,4,48.0,6.875
0,3,male,32.409774436090224,0,0,8.05,S,Mr,0,97.22932330827066,8.05
1,1,female,23.0,3,2,263.0,S,Miss,5,23.0,43.833333333333336
0,3,male,24.0,0,0,8.05,S,Mr,0,72.0,8.05
0,3,male,29.0,0,0,8.05,S,Mr,0,87.0,8.05
0,3,male,20.0,0,0,7.8542,S,Mr,0,60.0,7.8542
0,1,male,46.0,1,0,61.175,S,Mr,1,46.0,30.5875
0,3,male,26.0,1,2,20.575,S,Mr,3,78.0,5.14375
0,3,male,59.0,0,0,7.25,S,Mr,0,177.0,7.25
0,3,male,32.409774436090224,0,0,8.05,S,Mr,0,97.22932330827066,8.05
0,1,male,71.0,0,0,34.6542,C,Mr,0,71.0,34.6542
1,1,male,23.0,0,1,63.3583,C,Mr,1,23.0,31.67915
1,2,female,34.0,0,1,23.0,S,Mrs,1,68.0,11.5
0,2,male,34.0,1,0,26.0,S,Mr,1,68.0,13.0
0,3,female,28.0,0,0,7.8958,S,Miss,0,84.0,7.8958
0,3,male,32.409774436090224,0,0,7.8958,S,Mr,0,97.22932330827066,7.8958
0,1,male,21.0,0,1,77.2875,S,Mr,1,21.0,38.64375
0,3,male,33.0,0,0,8.6542,S,Mr,0,99.0,8.6542
0,3,male,37.0,2,0,7.925,S,Mr,2,111.0,2.6416666666666666
0,3,male,28.0,0,0,7.8958,S,Mr,0,84.0,7.8958
1,3,female,21.0,0,0,7.65,S,Miss,0,63.0,7.65
1,3,male,32.409774436090224,0,0,7.775,S,Mr,0,97.22932330827066,7.775
0,3,male,38.0,0,0,7.8958,S,Mr,0,114.0,7.8958
1,3,female,21.77777777777778,1,0,24.15,Q,Miss,1,65.33333333333334,12.075
0,1,male,47.0,0,0,52.0,S,Mr,0,47.0,52.0
0,3,female,14.5,1,0,14.4542,C,Miss,1,43.5,7.2271
0,3,male,22.0,0,0,8.05,S,Mr,0,66.0,8.05
0,3,female,20.0,1,0,9.825,S,Miss,1,60.0,4.9125
0,3,female,17.0,0,0,14.4583,C,Miss,0,51.0,14.4583
0,3,male,21.0,0,0,7.925,S,Mr,0,63.0,7.925
0,3,male,70.5,0,0,7.75,Q,Mr,0,211.5,7.75
0,2,male,29.0,1,0,21.0,S,Mr,1,58.0,10.5
0,1,male,24.0,0,1,247.5208,C,Mr,1,24.0,123.7604
0,3,female,2.0,4,2,31.275,S,Miss,6,6.0,4.4678571428571425
0,2,male,21.0,2,0,73.5,S,Mr,2,42.0,24.5
0,3,male,32.409774436090224,0,0,8.05,S,Mr,0,97.22932330827066,8.05
0,2,male,32.5,1,0,30.0708,C,Mr,1,65.0,15.0354
1,2,female,32.5,0,0,13.0,S,Miss,0,65.0,13.0
0,1,male,54.0,0,1,77.2875,S,Mr,1,54.0,38.64375
1,3,male,12.0,1,0,11.2417,C,Master,1,36.0,5.62085
0,3,male,32.409774436090224,0,0,7.75,Q,Mr,0,97.22932330827066,7.75
1,3,male,24.0,0,0,7.1417,S,Mr,0,72.0,7.1417
1,3,female,21.77777777777778,1,1,22.3583,C,Miss,2,65.33333333333334,7.452766666666666
0,3,male,45.0,0,0,6.975,S,Mr,0,135.0,6.975
0,3,male,33.0,0,0,7.8958,C,Mr,0,99.0,7.8958
0,3,male,20.0,0,0,7.05,S,Mr,0,60.0,7.05
0,3,female,47.0,1,0,14.5,S,Mrs,1,141.0,7.25
1,2,female,29.0,1,0,26.0,S,Mrs,1,58.0,13.0
0,2,male,25.0,0,0,13.0,S,Mr,0,50.0,13.0
0,2,male,23.0,0,0,15.0458,C,Mr,0,46.0,15.0458
1,1,female,19.0,0,2,26.2833,S,Miss,2,19.0,8.7611
0,1,male,37.0,1,0,53.1,S,Mr,1,37.0,26.55
0,3,male,16.0,0,0,9.2167,S,Mr,0,48.0,9.2167
0,1,male,24.0,0,0,79.2,C,Mr,0,24.0,79.2
0,3,female,35.642857142857146,0,2,15.2458,C,Mrs,2,106.92857142857144,5.081933333333333
1,3,female,22.0,0,0,7.75,S,Miss,0,66.0,7.75
1,3,female,24.0,1,0,15.85,S,Mrs,1,72.0,7.925
0,3,male,19.0,0,0,6.75,Q,Mr,0,57.0,6.75
0,2,male,18.0,0,0,11.5,S,Mr,0,36.0,11.5
0,2,male,19.0,1,1,36.75,S,Mr,2,38.0,12.25
1,3,male,27.0,0,0,7.7958,S,Mr,0,81.0,7.7958
0,3,female,9.0,2,2,34.375,S,Miss,4,27.0,6.875
0,2,male,36.5,0,2,26.0,S,Mr,2,73.0,8.666666666666666
0,2,male,42.0,0,0,13.0,S,Mr,0,84.0,13.0
0,2,male,51.0,0,0,12.525,S,Mr,0,102.0,12.525
1,1,female,22.0,1,0,66.6,S,Mrs,1,22.0,33.3
0,3,male,55.5,0,0,8.05,S,Mr,0,166.5,8.05
0,3,male,40.5,0,2,14.5,S,Mr,2,121.5,4.833333333333333
0,3,male,32.409774436090224,0,0,7.3125,S,Mr,0,97.22932330827066,7.3125
0,1,male,51.0,0,1,61.3792,C,Mr,1,51.0,30.6896
1,3,female,16.0,0,0,7.7333,Q,Miss,0,48.0,7.7333
0,3,male,30.0,0,0,8.05,S,Mr,0,90.0,8.05
0,3,male,32.409774436090224,0,0,8.6625,S,Mr,0,97.22932330827066,8.6625
0,3,male,4.574166666666667,8,2,69.55,S,Master,10,13.7225,6.322727272727272
0,3,male,44.0,0,1,16.1,S,Mr,1,132.0,8.05
1,2,female,40.0,0,0,15.75,S,Mrs,0,80.0,15.75
0,3,male,26.0,0,0,7.775,S,Mr,0,78.0,7.775
0,3,male,17.0,0,0,8.6625,S,Mr,0,51.0,8.6625
0,3,male,1.0,4,1,39.6875,S,Master,5,3.0,6.614583333333333
1,3,male,9.0,0,2,20.525,S,Master,2,27.0,6.841666666666666
1,1,female,35.642857142857146,0,1,55.0,S,Mrs,1,35.642857142857146,27.5
0,3,female,45.0,1,4,27.9,S,Mrs,5,135.0,4.6499999999999995
0,1,male,32.409774436090224,0,0,25.925,S,Mr,0,32.409774436090224,25.925
0,3,male,28.0,0,0,56.4958,S,Mr,0,84.0,56.4958
0,1,male,61.0,0,0,33.5,S,Mr,0,61.0,33.5
0,3,male,4.0,4,1,29.125,Q,Master,5,12.0,4.854166666666667
1,3,female,1.0,1,1,11.1333,S,Miss,2,3.0,3.7111
0,3,male,21.0,0,0,7.925,S,Mr,0,63.0,7.925
0,1,male,56.0,0,0,30.6958,C,Mr,0,56.0,30.6958
0,3,male,18.0,1,1,7.8542,S,Mr,2,54.0,2.6180666666666665
0,3,male,4.574166666666667,3,1,25.4667,S,Master,4,13.7225,5.0933399999999995
0,1,female,50.0,0,0,28.7125,C,Miss,0,50.0,28.7125
0,2,male,30.0,0,0,13.0,S,Mr,0,60.0,13.0
0,3,male,36.0,0,0,0.0,S,Mr,0,108.0,0.0
0,3,female,21.77777777777778,8,2,69.55,S,Miss,10,65.33333333333334,6.322727272727272
0,2,male,32.409774436090224,0,0,15.05,C,Mr,0,64.81954887218045,15.05
0,3,male,9.0,4,2,31.3875,S,Master,6,27.0,4.483928571428572
1,2,male,1.0,2,1,39.0,S,Master,3,2.0,9.75
1,3,female,4.0,0,2,22.025,S,Miss,2,12.0,7.341666666666666
0,1,male,32.409774436090224,0,0,50.0,S,Mr,0,32.409774436090224,50.0
1,3,female,35.642857142857146,1,0,15.5,Q,Mrs,1,106.92857142857144,7.75
1,1,male,45.0,0,0,26.55,S,Mr,0,45.0,26.55
0,3,male,40.0,1,1,15.5,Q,Mr,2,120.0,5.166666666666667
0,3,male,36.0,0,0,7.8958,S,Mr,0,108.0,7.8958
1,2,female,32.0,0,0,13.0,S,Mrs,0,64.0,13.0
0,2,male,19.0,0,0,13.0,S,Mr,0,38.0,13.0
1,3,female,19.0,1,0,7.8542,S,Miss,1,57.0,3.9271
1,2,male,3.0,1,1,26.0,S,Master,2,6.0,8.666666666666666
1,1,female,44.0,0,0,27.7208,C,Mrs,0,44.0,27.7208
1,1,female,58.0,0,0,146.5208,C,Miss,0,58.0,146.5208
0,3,male,32.409774436090224,0,0,7.75,Q,Mr,0,97.22932330827066,7.75
0,3,male,42.0,0,1,8.4042,S,Mr,1,126.0,4.2021
1,3,female,21.77777777777778,0,0,7.75,Q,Miss,0,65.33333333333334,7.75
0,2,female,24.0,0,0,13.0,S,Mrs,0,48.0,13.0
0,3,male,28.0,0,0,9.5,S,Mr,0,84.0,9.5
0,3,male,32.409774436090224,8,2,69.55,S,Mr,10,97.22932330827066,6.322727272727272
0,3,male,34.0,0,0,6.4958,S,Mr,0,102.0,6.4958
0,3,male,45.5,0,0,7.225,C,Mr,0,136.5,7.225
1,3,male,18.0,0,0,8.05,S,Mr,0,54.0,8.05
0,3,female,2.0,0,1,10.4625,S,Miss,1,6.0,5.23125
0,3,male,32.0,1,0,15.85,S,Mr,1,96.0,7.925
1,3,male,26.0,0,0,18.7875,C,Mr,0,78.0,18.7875
1,3,female,16.0,0,0,7.75,Q,Miss,0,48.0,7.75
1,1,male,40.0,0,0,31.0,C,Mr,0,40.0,31.0
0,3,male,24.0,0,0,7.05,S,Mr,0,72.0,7.05
1,2,female,35.0,0,0,21.0,S,Miss,0,70.0,21.0
0,3,male,22.0,0,0,7.25,S,Mr,0,66.0,7.25
0,2,male,30.0,0,0,13.0,S,Mr,0,60.0,13.0
0,3,male,32.409774436090224,1,0,7.75,Q,Mr,1,97.22932330827066,3.875
1,1,female,31.0,1,0,113.275,C,Miss,1,31.0,56.6375
1,3,female,27.0,0,0,7.925,S,Miss,0,81.0,7.925
0,2,male,42.0,1,0,27.0,S,Mr,1,84.0,13.5
1,1,female,32.0,0,0,76.2917,C,Miss,0,32.0,76.2917
0,2,male,30.0,0,0,10.5,S,Mr,0,60.0,10.5
1,3,male,16.0,0,0,8.05,S,Mr,0,48.0,8.05
0,2,male,27.0,0,0,13.0,S,Mr,0,54.0,13.0
0,3,male,51.0,0,0,8.05,S,Mr,0,153.0,8.05
0,3,male,32.409774436090224,0,0,7.8958,S,Mr,0,97.22932330827066,7.8958
1,1,male,38.0,1,0,90.0,S,Mr,1,38.0,45.0
0,3,male,22.0,0,0,9.35,S,Mr,0,66.0,9.35
1,2,male,19.0,0,0,10.5,S,Mr,0,38.0,10.5
0,3,male,20.5,0,0,7.25,S,Mr,0,61.5,7.25
0,2,male,18.0,0,0,13.0,S,Mr,0,36.0,13.0
0,3,female,21.77777777777778,3,1,25.4667,S,Miss,4,65.33333333333334,5.0933399999999995
1,1,female,35.0,1,0,83.475,S,Mrs,1,35.0,41.7375
0,3,male,29.0,0,0,7.775,S,Mr,0,87.0,7.775
0,2,male,59.0,0,0,13.5,S,Mr,0,118.0,13.5
1,3,female,5.0,4,2,31.3875,S,Miss,6,15.0,4.483928571428572
0,2,male,24.0,0,0,10.5,S,Mr,0,48.0,10.5
0,3,female,21.77777777777778,0,0,7.55,S,Miss,0,65.33333333333334,7.55
0,2,male,44.0,1,0,26.0,S,Mr,1,88.0,13.0
1,2,female,8.0,0,2,26.25,S,Miss,2,16.0,8.75
0,2,male,19.0,0,0,10.5,S,Mr,0,38.0,10.5
0,2,male,33.0,0,0,12.275,S,Mr,0,66.0,12.275
0,3,female,21.77777777777778,1,0,14.4542,C,Miss,1,65.33333333333334,7.2271
1,3,female,21.77777777777778,1,0,15.5,Q,Miss,1,65.33333333333334,7.75
0,2,male,29.0,0,0,10.5,S,Mr,0,58.0,10.5
0,3,male,22.0,0,0,7.125,S,Mr,0,66.0,7.125
0,3,male,30.0,0,0,7.225,C,Mr,0,90.0,7.225
0,1,male,44.0,2,0,90.0,Q,Mrs,2,44.0,30.0
0,3,female,25.0,0,0,7.775,S,Miss,0,75.0,7.775
1,2,female,24.0,0,2,14.5,S,Mrs,2,48.0,4.833333333333333
1,1,male,37.0,1,1,52.5542,S,Mr,2,37.0,17.518066666666666
0,2,male,54.0,1,0,26.0,S,Mr,1,108.0,13.0
0,3,male,32.409774436090224,0,0,7.25,S,Mr,0,97.22932330827066,7.25
0,3,female,29.0,1,1,10.4625,S,Mrs,2,87.0,3.4875000000000003
0,1,male,62.0,0,0,26.55,S,Mr,0,62.0,26.55
0,3,male,30.0,1,0,16.1,S,Mr,1,90.0,8.05
0,3,female,41.0,0,2,20.2125,S,Mrs,2,123.0,6.7375
1,3,female,29.0,0,2,15.2458,C,Mrs,2,87.0,5.081933333333333
1,1,female,35.642857142857146,0,0,79.2,C,Mrs,0,35.642857142857146,79.2
1,1,female,30.0,0,0,86.5,S,Miss,0,30.0,86.5
1,1,female,35.0,0,0,512.3292,C,Miss,0,35.0,512.3292
1,2,female,50.0,0,1,26.0,S,Mrs,1,100.0,13.0
0,3,male,32.409774436090224,0,0,7.75,Q,Mr,0,97.22932330827066,7.75
1,3,male,3.0,4,2,31.3875,S,Master,6,9.0,4.483928571428572
0,1,male,52.0,1,1,79.65,S,Mr,2,52.0,26.55
0,1,male,40.0,0,0,0.0,S,Mr,0,40.0,0.0
0,3,female,21.77777777777778,0,0,7.75,Q,Miss,0,65.33333333333334,7.75
0,2,male,36.0,0,0,10.5,S,Mr,0,72.0,10.5
0,3,male,16.0,4,1,39.6875,S,Mr,5,48.0,6.614583333333333
1,3,male,25.0,1,0,7.775,S,Mr,1,75.0,3.8875
1,1,female,58.0,0,1,153.4625,S,Mrs,1,58.0,76.73125
1,1,female,35.0,0,0,135.6333,S,Miss,0,35.0,135.6333
0,1,male,32.409774436090224,0,0,31.0,S,Mr,0,32.409774436090224,31.0
1,3,male,25.0,0,0,0.0,S,Mr,0,75.0,0.0
1,2,female,41.0,0,1,19.5,S,Mrs,1,82.0,9.75
0,1,male,37.0,0,1,29.7,C,Mr,1,37.0,14.85
1,3,female,21.77777777777778,0,0,7.75,Q,Miss,0,65.33333333333334,7.75
1,1,female,63.0,1,0,77.9583,S,Miss,1,63.0,38.97915
0,3,female,45.0,0,0,7.75,S,Miss,0,135.0,7.75
0,2,male,32.409774436090224,0,0,0.0,S,Mr,0,64.81954887218045,0.0
0,3,male,7.0,4,1,29.125,Q,Master,5,21.0,4.854166666666667
1,3,female,35.0,1,1,20.25,S,Mrs,2,105.0,6.75
0,3,male,65.0,0,0,7.75,Q,Mr,0,195.0,7.75
0,3,male,28.0,0,0,7.8542,S,Mr,0,84.0,7.8542
0,3,male,16.0,0,0,9.5,S,Mr,0,48.0,9.5
1,3,male,19.0,0,0,8.05,S,Mr,0,57.0,8.05
0,1,male,32.409774436090224,0,0,26.0,S,Mr,0,32.409774436090224,26.0
0,3,male,33.0,0,0,8.6625,C,Mr,0,99.0,8.6625
1,3,male,30.0,0,0,9.5,S,Mr,0,90.0,9.5
0,3,male,22.0,0,0,7.8958,S,Mr,0,66.0,7.8958
1,2,male,42.0,0,0,13.0,S,Mr,0,84.0,13.0
1,3,female,22.0,0,0,7.75,Q,Miss,0,66.0,7.75
1,1,female,26.0,0,0,78.85,S,Miss,0,26.0,78.85
1,1,female,19.0,1,0,91.0792,C,Mrs,1,19.0,45.5396
0,2,male,36.0,0,0,12.875,C,Mr,0,72.0,12.875
0,3,female,24.0,0,0,8.85,S,Miss,0,72.0,8.85
0,3,male,24.0,0,0,7.8958,S,Mr,0,72.0,7.8958
